result,table,Time,SensorName,CarsLT40,VansLT40,TrucksLT40
after pivot,0.0,2022-08-24 02:25:35.043195+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 02:55:34.924564+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 03:55:34.700695+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 04:25:34.591819+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 04:40:34.533767+00:00,dd-8112573d,1.0,0.0,0.0
after pivot,0.0,2022-08-24 05:10:34.415399+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 05:20:34.385273+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 05:55:34.248603+00:00,dd-8112573d,3.0,0.0,0.0
after pivot,0.0,2022-08-24 06:25:35.130326+00:00,dd-8112573d,1.0,1.0,0.0
after pivot,0.0,2022-08-24 06:45:34.060493+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 07:05:33.982383+00:00,dd-8112573d,1.0,0.0,0.0
after pivot,0.0,2022-08-24 07:35:33.874866+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 07:50:33.815633+00:00,dd-8112573d,1.0,0.0,0.0
after pivot,0.0,2022-08-24 08:10:33.738953+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 08:40:34.620816+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 08:50:33.591036+00:00,dd-8112573d,0.0,0.0,0.0
after pivot,0.0,2022-08-24 09:10:33.513509+00:00,dd-8112573d,0.0,1.0,0.0
,0.0,,,7.0,2.0,0.0
