result,table,Time,SensorName,CarsLT40,VansLT40,TrucksLT40
after pivot,1.0,2022-08-24 02:21:01.144260+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 02:51:01.035379+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 03:21:00.914642+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 03:51:01.796421+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 04:21:01.685598+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 04:41:00.609368+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 05:11:00.489012+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 05:21:00.458892+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 05:41:00.380683+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 05:46:00.367738+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 05:56:00.320379+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 06:26:01.201895+00:00,dd-8112578f,0.0,1.0,0.0
after pivot,1.0,2022-08-24 06:46:00.128658+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 07:16:00.018147+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 07:45:59.899820+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 07:50:59.879173+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 08:21:00.760199+00:00,dd-8112578f,0.0,0.0,0.0
after pivot,1.0,2022-08-24 08:50:59.649595+00:00,dd-8112578f,1.0,0.0,0.0
after pivot,1.0,2022-08-24 09:20:59.530945+00:00,dd-8112578f,0.0,0.0,0.0
,19.0,,,1.0,1.0,0.0
